,Dokumen1,Dokumen2,Dokumen3,Dokumen4,Dokumen5
hidang,0.0,0.0,0.0,0.011416277092118692,0.0
hidup,0.01671437456655035,0.0,0.025942850477381423,0.0038228069100964034,0.0
hijau,0.0,0.0,0.07747468720614015,0.0,0.0
hilang,0.0,0.0,0.0,0.011416277092118692,0.0
hina,0.0,0.04003693332203872,0.0,0.0,0.0
hindar,0.0,0.0,0.0,0.005708138546059346,0.0
historia,0.0,0.0,0.0,0.005708138546059346,0.0
historis,0.0,0.0,0.0,0.005708138546059346,0.0
history,0.0,0.0,0.0,0.005708138546059346,0.0
hitung,0.07030329406384747,0.011278054929481718,0.0,0.10933943340219932,0.012179874436041552
holiday,0.0,0.0,0.0,0.005708138546059346,0.0
holy,0.0,0.2001846666101936,0.0,0.0,0.0
homili,0.0,0.01615077285559461,0.0,0.004605290237597755,0.0
hormat,0.0,0.0,0.0,0.011416277092118692,0.0
hubung,0.0,0.0,0.0312530449088076,0.03684232190078204,0.0
hujat,0.0499151372174296,0.0,0.0,0.0,0.0
hukum,0.10028624739930209,0.0,0.0,0.011468420730289211,0.04343587015552891
hulu,0.0,0.0,0.0,0.005708138546059346,0.0
huruf,0.0,0.0,0.0,0.011416277092118692,0.0
ibadah,0.0,0.1072528034332454,0.025942850477381423,0.0038228069100964034,0.0
ibadat,0.0,0.02001846666101936,0.0,0.0,0.0
ibrani,0.0,0.0,0.0,0.03424883127635608,0.0
icon,0.0,0.02001846666101936,0.0,0.0,0.0
iconography,0.0,0.02001846666101936,0.0,0.0,0.0
identik,0.0,0.0,0.0,0.005708138546059346,0.0
ii,0.0,0.0,0.0,0.005708138546059346,0.0
iii,0.0,0.0,0.0,0.005708138546059346,0.0
ikan,0.0,0.0,0.0,0.0,0.04323837964220743
ikat,0.0,0.0,0.0,0.0,0.06485756946331116
ilahi,0.0,0.0,0.0,0.0,0.021619189821103717
ilham,0.0,0.0,0.0,0.005708138546059346,0.0
ilmiah,0.0249575686087148,0.0,0.0,0.0,0.0
ilmu,0.0,0.0,0.0,0.005708138546059346,0.0
ilmuwan,0.0249575686087148,0.0,0.0,0.0,0.0
imam,0.0668574982662014,0.0536264017166227,0.0,0.0038228069100964034,0.0
iman,0.0,0.0,0.0,0.004605290237597755,0.03488445244435613
in,0.0,0.0,0.0,0.011416277092118692,0.0
indonesia,0.0,0.0,0.0,0.02763174142558653,0.1046533573330684
inggris,0.0,0.06460309142237844,0.0,0.023026451187988774,0.0
injak,0.0,0.01615077285559461,0.0,0.0,0.03488445244435613
injil,0.0,0.0536264017166227,0.051885700954762845,0.011468420730289211,0.0
inklusif,0.0,0.0,0.0,0.01712441563817804,0.0
inklusifk,0.0,0.0,0.0,0.005708138546059346,0.0
instrumen,0.0,0.0,0.038737343603070074,0.0,0.0
iring,0.0,0.01615077285559461,0.0,0.004605290237597755,0.0
irlandia,0.0,0.01615077285559461,0.0,0.004605290237597755,0.0
isa,0.0,0.02001846666101936,0.0,0.0,0.0
isaac,0.0249575686087148,0.0,0.0,0.0,0.0
islandia,0.0,0.0,0.0,0.005708138546059346,0.0
israel,0.020135609207880545,0.0,0.0,0.00921058047519551,0.0
istilah,0.0,0.0,0.0,0.1013163852271506,0.017442226222178066
istimewa,0.0,0.01615077285559461,0.0312530449088076,0.0,0.0
italia,0.0,0.0,0.0,0.022832554184237384,0.0
iur,0.0,0.0,0.0,0.0,0.021619189821103717
iv,0.0,0.0,0.0,0.005708138546059346,0.0
jadwal,0.0,0.0,0.0,0.005708138546059346,0.0
jaga,0.0499151372174296,0.0,0.0,0.0,0.0
jahat,0.0249575686087148,0.0,0.0,0.0,0.0
jajan,0.0,0.0,0.0,0.0,0.021619189821103717
jalan,0.0,0.013406600429155676,0.0,0.022936841460578422,0.02895724677035261
jam,0.0,0.0,0.0,0.011416277092118692,0.0
jamin,0.0,0.0,0.0,0.005708138546059346,0.0
jamu,0.01671437456655035,0.06703300214577838,0.0,0.057342103651446055,0.0
janji,0.0,0.0,0.0,0.03995696982241542,0.0
januari,0.0,0.0,0.0,0.005708138546059346,0.0
jarang,0.0,0.01615077285559461,0.0,0.01842116095039102,0.0
jatuh,0.08436395287661695,0.0,0.021823943680379022,0.05466971670109966,0.012179874436041552
jawa,0.0,0.0,0.0,0.005708138546059346,0.0
jelang,0.0,0.0,0.0,0.022832554184237384,0.0
jemaat,0.0,0.01615077285559461,0.0,0.03684232190078204,0.0
jerman,0.0,0.0,0.0,0.03995696982241542,0.0
jermanik,0.0,0.0,0.0,0.005708138546059346,0.0
jiwa,0.0,0.0,0.0312530449088076,0.0,0.017442226222178066
john,0.0,0.02001846666101936,0.0,0.0,0.0
jual,0.0,0.0,0.0,0.005708138546059346,0.0
jubah,0.0499151372174296,0.0,0.0,0.0,0.0
judul,0.0,0.0,0.0,0.005708138546059346,0.0
jugendorchester,0.0,0.0,0.0,0.005708138546059346,0.0
juli,0.060406827623641635,0.0,0.0,0.05526348285117306,0.0
